1,Juan Perez,12345678A,| Salario Máximo: 1965.47€,| Salario Mínimo: 1307.89€,| Media Salario: 1654.8966666666665€
2,Maria Garcia,87654321B,| Salario Máximo: 1977.12€,| Salario Mínimo: 1201.41€,| Media Salario: 1523.7833333333335€
3,Pedro Rodriguez,12398745C,| Salario Máximo: 1938.82€,| Salario Mínimo: 1237.15€,| Media Salario: 1595.1908333333333€
4,Laura Sanchez,87451236D,| Salario Máximo: 1966.09€,| Salario Mínimo: 1246.18€,| Media Salario: 1482.8400000000001€
5,Javier Lopez,74951238E,| Salario Máximo: 1973.36€,| Salario Mínimo: 1280.28€,| Media Salario: 1515.9183333333333€
6,Ana Fernandez,98234567F,| Salario Máximo: 1937.14€,| Salario Mínimo: 1224.99€,| Media Salario: 1688.9174999999998€
7,Miguel Torres,34567821G,| Salario Máximo: 1847.6€,| Salario Mínimo: 1228.49€,| Media Salario: 1504.8425€
8,Lucia Martin,54872345H,| Salario Máximo: 1884.14€,| Salario Mínimo: 1342.38€,| Media Salario: 1610.9616666666668€
9,Raul Gonzalez,67543218I,| Salario Máximo: 1993.39€,| Salario Mínimo: 1220.41€,| Media Salario: 1636.3766666666668€
10,Carmen Ruiz,32458769J,| Salario Máximo: 1981.01€,| Salario Mínimo: 1225.33€,| Media Salario: 1592.4908333333333€
11,Sergio Hernandez,82736451K,| Salario Máximo: 1994.73€,| Salario Mínimo: 1334.11€,| Media Salario: 1591.0408333333332€
12,Sofia Morales,92748365L,| Salario Máximo: 1876.84€,| Salario Mínimo: 1330.14€,| Media Salario: 1669.3616666666667€
13,David Castillo,43658729M,| Salario Máximo: 1996.98€,| Salario Mínimo: 1220.38€,| Media Salario: 1722.8583333333333€
14,Isabel Ortega,98237465N,| Salario Máximo: 1969.34€,| Salario Mínimo: 1230.0€,| Media Salario: 1596.4008333333334€
15,Manuel Vega,12387594O,| Salario Máximo: 1931.74€,| Salario Mínimo: 1273.85€,| Media Salario: 1613.17€
16,Paula Rojas,76543218P,| Salario Máximo: 1954.97€,| Salario Mínimo: 1217.23€,| Media Salario: 1554.7241666666666€
17,Ruben Gimenez,12983756Q,| Salario Máximo: 1866.31€,| Salario Mínimo: 1269.42€,| Media Salario: 1616.0941666666668€
18,Adriana Ramos,67834512R,| Salario Máximo: 1904.57€,| Salario Mínimo: 1247.49€,| Media Salario: 1678.3175€
19,Jose Ibanez,98237645S,| Salario Máximo: 1811.9€,| Salario Mínimo: 1263.21€,| Media Salario: 1500.8741666666667€
20,Claudia Pardo,78452139T,| Salario Máximo: 1930.88€,| Salario Mínimo: 1200.5€,| Media Salario: 1538.4191666666666€
21,Vicente Varela,92387546U,| Salario Máximo: 1990.36€,| Salario Mínimo: 1410.91€,| Media Salario: 1696.2558333333334€
22,Andrea Gutierrez,34827619V,| Salario Máximo: 1976.06€,| Salario Mínimo: 1303.86€,| Media Salario: 1524.2308333333333€
23,Fernando Serrano,23879456W,| Salario Máximo: 1990.82€,| Salario Mínimo: 1281.71€,| Media Salario: 1708.8383333333334€
24,Beatriz Diaz,87236451X,| Salario Máximo: 1913.46€,| Salario Mínimo: 1202.42€,| Media Salario: 1591.8508333333332€
25,Diego Romero,94738265Y,| Salario Máximo: 1898.15€,| Salario Mínimo: 1281.25€,| Media Salario: 1687.2283333333335€
