1 Juan Perez 12345678A | Salario Máximo: 1979.08€ | Salario Minimo: 1263.81€ | Media Salario: 1666.70€
2 Maria Garcia 87654321B | Salario Máximo: 1932.95€ | Salario Minimo: 1240.35€ | Media Salario: 1580.25€
3 Pedro Rodriguez 12398745C | Salario Máximo: 1953.63€ | Salario Minimo: 1213.59€ | Media Salario: 1706.78€
4 Laura Sanchez 87451236D | Salario Máximo: 1939.85€ | Salario Minimo: 1443.74€ | Media Salario: 1633.47€
5 Javier Lopez 74951238E | Salario Máximo: 1898.10€ | Salario Minimo: 1374.32€ | Media Salario: 1648.92€
6 Ana Fernandez 98234567F | Salario Máximo: 1931.26€ | Salario Minimo: 1300.87€ | Media Salario: 1565.22€
7 Miguel Torres 34567821G | Salario Máximo: 1960.19€ | Salario Minimo: 1213.75€ | Media Salario: 1626.62€
8 Lucia Martin 54872345H | Salario Máximo: 1932.88€ | Salario Minimo: 1278.66€ | Media Salario: 1613.22€
9 Raul Gonzalez 67543218I | Salario Máximo: 1922.14€ | Salario Minimo: 1275.86€ | Media Salario: 1678.85€
10 Carmen Ruiz 32458769J | Salario Máximo: 1979.40€ | Salario Minimo: 1239.29€ | Media Salario: 1668.78€
11 Sergio Hernandez 82736451K | Salario Máximo: 1973.49€ | Salario Minimo: 1278.29€ | Media Salario: 1576.64€
12 Sofia Morales 92748365L | Salario Máximo: 1990.31€ | Salario Minimo: 1225.13€ | Media Salario: 1556.48€
13 David Castillo 43658729M | Salario Máximo: 1967.45€ | Salario Minimo: 1232.75€ | Media Salario: 1636.37€
14 Isabel Ortega 98237465N | Salario Máximo: 1775.40€ | Salario Minimo: 1286.36€ | Media Salario: 1519.81€
15 Manuel Vega 12387594O | Salario Máximo: 1981.47€ | Salario Minimo: 1276.62€ | Media Salario: 1608.25€
16 Paula Rojas 76543218P | Salario Máximo: 1974.18€ | Salario Minimo: 1227.23€ | Media Salario: 1634.69€
17 Ruben Gimenez 12983756Q | Salario Máximo: 1967.61€ | Salario Minimo: 1206.47€ | Media Salario: 1595.31€
18 Adriana Ramos 67834512R | Salario Máximo: 1977.98€ | Salario Minimo: 1288.70€ | Media Salario: 1606.04€
19 Jose Ibanez 98237645S | Salario Máximo: 1831.07€ | Salario Minimo: 1231.02€ | Media Salario: 1558.04€
20 Claudia Pardo 78452139T | Salario Máximo: 1972.79€ | Salario Minimo: 1275.02€ | Media Salario: 1669.27€
21 Vicente Varela 92387546U | Salario Máximo: 1869.35€ | Salario Minimo: 1251.67€ | Media Salario: 1559.86€
22 Andrea Gutierrez 34827619V | Salario Máximo: 1957.27€ | Salario Minimo: 1207.79€ | Media Salario: 1651.92€
23 Fernando Serrano 23879456W | Salario Máximo: 1777.83€ | Salario Minimo: 1271.01€ | Media Salario: 1508.71€
24 Beatriz Diaz 87236451X | Salario Máximo: 1995.13€ | Salario Minimo: 1241.95€ | Media Salario: 1650.63€
25 Diego Romero 94738265Y | Salario Máximo: 1773.97€ | Salario Minimo: 1219.69€ | Media Salario: 1549.94€
