1,Juan Perez,12345678A,1592.17,1382.41,1895.58,1554.53,1470.84,1562.3,1469.66,1387.97,1901.68,1772.27,1297.87,1787.81
2,Maria Garcia,87654321B,1480.29,1751.73,1485.81,1797.56,1609.03,1900.16,1656.2,1854.84,1962.72,1457.7,1660.35,1240.08
3,Pedro Rodriguez,12398745C,1437.28,1605.77,1978.1,1252.25,1576.88,1781.5,1674.01,1392.83,1875.92,1581.17,1590.88,1833.94
4,Laura Sanchez,87451236D,1377.93,1535.11,1699.94,1465.78,1844.18,1768.63,1390.4,1263.53,1240.88,1720.43,1969.24,1982.75
5,Javier Lopez,74951238E,1994.13,1872.05,1355.45,1687.6,1988.02,1448.85,1891.24,1934.96,1231.88,1485.32,1755.93,1582.79
6,Ana Fernandez,98234567F,1898.35,1304.12,1456.65,1359.96,1634.91,1540.65,1283.02,1329.87,1277.29,1551.84,1451.68,1599.17
7,Miguel Torres,34567821G,1943.64,1779.89,1529.29,1267.99,1764.7,1998.59,1611.31,1287.07,1605.38,1952.24,1847.08,1582.15
8,Lucia Martin,54872345H,1659.35,1703.8,1639.73,1525.24,1548.89,1841.17,1613.15,1577.04,1537.96,1747.59,1426.19,1894.31
9,Raul Gonzalez,67543218I,1667.44,1823.86,1527.72,1690.43,1846.95,1657.6,1784.36,1957.02,1588.78,1866.23,1376.11,1399.09
10,Carmen Ruiz,32458769J,1545.04,1897.99,1643.22,1505.39,1909.9,1856.72,1481.02,1570.61,1474.78,1823.75,1417.76,1805.28
11,Sergio Hernandez,82736451K,1674.84,1581.85,1673.61,1613.92,1941.18,1903.36,1687.49,1491.36,1673.68,1246.81,1411.51,1981.97
12,Sofia Morales,92748365L,1775.51,1613.02,1711.02,1765.65,1740.73,1244.13,1671.91,1979.44,1562.51,1405.57,1704.61,1352.72
13,David Castillo,43658729M,1230.16,1673.56,1447.78,1428.75,1908.92,1357.13,1813.1,1864.76,1647.16,1516.3,1875.38,1347.39
14,Isabel Ortega,98237465N,1431.75,1294.66,1301.12,1229.56,1812.67,1566.71,1621.25,1389.86,1744.13,1807.61,1692.79,1834.52
15,Manuel Vega,12387594O,1739.96,1824.59,1756.7,1607.08,1317.04,1746.67,1788.1,1839.91,1201.06,1851.21,1747.98,1876.73
16,Paula Rojas,76543218P,1895.0,1612.81,1483.89,1514.42,1561.19,1592.19,1990.31,1357.3,1743.82,1639.75,1927.87,1446.14
17,Ruben Gimenez,12983756Q,1259.41,1970.32,1313.7,1319.26,1408.6,1972.96,1733.45,1682.09,1913.43,1551.47,1288.98,1306.33
18,Adriana Ramos,67834512R,1459.96,1348.3,1983.81,1449.5,1426.91,1786.79,1361.88,1979.92,1506.86,1273.44,1753.17,1711.85
19,Jose Ibanez,98237645S,1877.2,1534.15,1843.47,1800.11,1953.89,1315.24,1273.34,1812.86,1761.81,1762.18,1585.0,1295.94
20,Claudia Pardo,78452139T,1381.33,1696.09,1273.92,1661.53,1581.51,1539.76,1365.31,1678.51,1825.98,1602.45,1623.94,1911.45
21,Vicente Varela,92387546U,1538.5,1814.34,1818.9,1549.67,1641.02,1808.71,1803.38,1987.28,1527.46,1682.08,1732.77,1259.72
22,Andrea Gutierrez,34827619V,1412.89,1219.32,1932.43,1611.83,1797.78,1652.93,1940.25,1467.02,1413.43,1932.66,1686.82,1286.57
23,Fernando Serrano,23879456W,1265.09,1413.83,1839.84,1852.77,1265.24,1629.38,1827.24,1378.93,1850.14,1393.15,1367.19,1344.06
24,Beatriz Diaz,87236451X,1498.67,1888.61,1270.96,1269.35,1823.23,1629.41,1448.45,1398.22,1278.2,1235.1,1233.89,1811.26
25,Diego Romero,94738265Y,1332.26,1247.55,1763.02,1301.75,1976.7,1920.34,1771.01,1757.22,1892.57,1245.76,1243.78,1836.86
